Year,state,area,Total Rainfall in millimetres
2021,Kedah,341976.0,2272.0
2021,Kelantan,629881.0,2796.7
2021,Melaka,5199.0,2506.0
2021,Pahang,1588298.0,2641.875
2021,Perak,986848.0,2336.866666666667
2021,Perlis,10629.0,2081.0
2021,Pulau Pinang,5387.0,2107.5
2021,Sabah,3574468.0,2711.866666666667
2021,Sarawak,3964880.0,3991.925
2021,Selangor,250208.0,2812.1000000000004
2021,Terengganu,540309.0,2518.3999999999996
